#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1,-554.9855900825683,0.2167684680301662
2,-554.9804169512502,0.40204376169198547
3,-554.9709119037431,0.5728263669778907
4,-554.9555782762224,0.7825202773415326
5,-554.9319380621745,0.9861347877727835
6,-554.8978190559991,1.1827460682569841
7,-554.8545643613804,1.3456275373682558
8,-554.7998650050438,1.5363605655302222
9,-554.7374363108343,1.6412101020211
10,-554.6642168123801,1.9070829189538299
11,-554.5797783602167,2.0809133853722126
12,-554.4909441557497,2.1825360411527344
13,-554.3880958802229,2.445104277603632
14,-554.2712945851011,2.812904180122024
15,-554.1489135870326,2.8954749593228417
16,-554.0254903978993,3.0029726557542964
17,-553.8945009950851,3.0494374233713026
18,-553.757941134819,3.1911919492322234
19,-553.6172924736683,3.3098460374310643
20,-553.4718932352674,3.510679216507873
21,-553.330669856712,3.6400583164737697
22,-553.1978093199107,3.893393839514155
23,-553.0763018484234,3.8101308531888836
24,-552.9707643744994,3.961779912402745
25,-552.8827675823728,3.9393278120107262
26,-552.8078141395158,4.0960776506048635
27,-552.714726228941,4.174047549329339
28,-552.6444489917579,4.1493971247586865
29,-552.5802720801116,4.103275789626529
30,-552.5248764145716,4.264131828196949
31,-552.4797107277076,4.442155912356701
32,-552.4495053451383,4.5887769787667985
33,-552.4300720411652,4.905420674640596
34,-552.4052044651995,5.124233640461739
35,-552.372156185752,5.3859868733952245
36,-552.2997271130554,5.542346334027124
37,-552.2162794395816,5.537172765824761
38,-552.1223167510659,5.616528896457889
39,-552.0190173535158,5.546005294042275
40,-551.8965936826678,5.62175745715598
41,-551.7530222887113,5.736027101660194
42,-551.5936725916117,6.041814837310001
43,-551.4262166672985,6.144511225520048
44,-551.2476785646928,6.209535793788088
45,-551.0589428691092,6.4180499464232525
46,-550.8469901688286,6.59642293041816
47,-550.6273416606357,6.509392472898358
48,-550.3958125378714,6.556998500985502
49,-550.1426680121511,6.5513443557860125
50,-549.8992907066051,6.534207485324465
51,-549.663907256935,6.521593453165745
52,-549.4337951592156,6.584553770961296
53,-549.2065480480837,6.5690184570123344
54,-548.999026754628,6.465523137401971
55,-548.7986720779843,6.544249179319383
56,-548.6214061881952,6.565456832535357
57,-548.474296728693,6.632222102975719
58,-548.3300097359405,6.726327103940766
59,-548.1886879572369,6.773409256891835
60,-548.0581499869623,6.929330633264129
61,-547.9391767676703,6.948043170454689
62,-547.8467604082133,7.034825324682999
63,-547.7459179032568,7.267743078073244
64,-547.6645683198069,7.193120407234045
65,-547.5767572172462,7.270875364403309
66,-547.4959044214403,7.423741007523941
67,-547.4336972957577,7.7586035081540015
68,-547.3705133991158,7.596969634881954
69,-547.2940314741583,7.96689923889349
70,-547.2128978718321,8.188954897194314
71,-547.0913526023595,8.366470379597175
72,-546.9418597003285,8.579692094980787
73,-546.7753740851982,8.493811028914887
74,-546.5903380839056,8.448249648309503
75,-546.3785349305604,8.59951437737004
76,-546.1541850844019,8.676797255275853
77,-545.9265431152061,8.478253917032875
78,-545.6802907504998,8.434662682258375
79,-545.4265718824671,8.601753513854833
80,-545.148331563924,8.787759665473512
81,-544.8437680986835,8.848881540519137
82,-544.5327895759948,9.138426047640387
83,-544.2255004206809,9.2725539435148
84,-543.92731114043,9.239847725241422
85,-543.6668614687087,9.26169713258311
86,-543.4302852657211,9.307680999739361
87,-543.2125031493106,9.403365224079252
88,-543.0063429780835,9.486669549867365
89,-542.8365538802336,9.487508869136155
90,-542.6991798188074,9.599967863666045
91,-542.5922914759369,9.654207652747187
92,-542.4866868047922,9.638816538567584
93,-542.4045153157037,9.745335335770605
94,-542.3077418490793,10.068383961038265
95,-542.2156880216049,10.16859142627449
96,-542.141638398211,10.580272767188351
97,-542.0517026769049,10.78111165450272
98,-541.9267608511916,10.64386217367974
99,-541.7882551489411,10.619076236615316
100,-541.6215579760865,10.938833571005068
101,-541.4545499883591,10.938918553630632
102,-541.2586929356437,11.186637684812927
103,-541.0315820113176,11.568932767394507
104,-540.7782724675917,11.667804007464609
105,-540.5292677866075,11.67762151828395
106,-540.2785401919168,11.366322093139626
107,-540.0189743192818,11.29795469688402
108,-539.7732062496785,11.370675988568676
109,-539.5304985573798,11.184039121098037
110,-539.2732923207291,11.529066701371619
111,-538.9909079933316,11.379933230490206
112,-538.7066470593462,11.577637551732131
113,-538.4390760545855,11.566618300423768
114,-538.2109568339419,11.759276126861346
115,-537.996039265948,11.769067786917143
116,-537.8129348619323,11.651503213288073
117,-537.6908778014828,11.586890897548772
118,-537.604790600883,11.706819046836843
119,-537.5886423522188,11.844424593785428
120,-537.574314286214,12.392499864243158
121,-537.5534763386147,12.597093887338255
122,-537.5790608915245,12.868941063420658
123,-537.5952610181499,13.009483788218951
124,-537.6087402597457,13.518088632884659
125,-537.638064105698,13.533255274012973
126,-537.6582902543289,14.01853265303713
127,-537.6736813769515,14.401751514189472
128,-537.7156754144886,14.515399742444043
129,-537.7590837907477,14.644501425745135
130,-537.7846295814477,14.679245131394325
131,-537.7990090249353,14.691463978041714
132,-537.7816880495695,15.231205622852299
133,-537.7106969748424,15.215995676741281
134,-537.616354902118,15.287521807073565
135,-537.4803953493565,15.238137658960502
136,-537.3277500395329,14.982778407150668
137,-537.1210009565657,15.222464849692741
138,-536.8843219497978,14.95208949899618
139,-536.6066873925581,15.218666854833266
140,-536.3162106857525,15.28609312397434
141,-536.0153161008886,15.433773193694266
142,-535.7103110899441,15.207880196960987
143,-535.4130805146402,15.092857761279348
144,-535.1386777495229,14.939383577334105
145,-534.869085312806,14.791079248244092
146,-534.6009742130265,14.866171852590742
147,-534.3723813297493,15.077383145936654
148,-534.2022558682702,15.251193542545867
149,-534.0916850570919,15.50012325929531
150,-533.9985899825103,15.820417996310763
151,-533.9239624346288,16.150469793279235
152,-533.8848185108212,16.27792834007309
153,-533.9076975325777,16.757059599487988
154,-533.9475464412811,17.121049889000595
155,-534.0263052683458,17.715823795767413
156,-534.1693313879975,17.833005452575634
157,-534.343676053617,18.002029683455287
158,-534.5195099571523,18.48689879732086
159,-534.662986531689,18.749384973049867
160,-534.7791858223669,18.835502867125225
161,-534.8637362434233,19.083027454712635
162,-534.891551325108,19.043852987009913
163,-534.8790937682597,19.421146598144876
164,-534.8045882314632,19.726084666402283
165,-534.6596458562308,19.507985261617776
166,-534.4649110466391,19.57845502838493
167,-534.2049054608414,19.69318877342007
168,-533.8724928317584,19.289017822125953
169,-533.4825509318244,19.153636273473936
170,-533.0416941779654,18.79611927910829
171,-532.5726643019635,18.35031847633474
172,-532.1116720917397,18.44807660043591
173,-531.6566589267111,18.317470340689148
174,-531.2417063415268,18.184210936593125
175,-530.8780299468217,18.222397231716396
176,-530.5449874165463,18.115226179352693
177,-530.2708009093112,17.97863526215671
178,-530.0612541508012,18.22111122903143
179,-529.9162822816037,18.56836996618392
180,-529.847167067307,18.986467147931418
181,-529.8443445409298,19.323122817754236
182,-529.9141510233595,19.752263556636887
183,-530.0054776951818,20.746636436593914
184,-530.1140756131595,20.858211150350535
185,-530.2333020152821,21.186524947466413
186,-530.3448335899569,21.406760420860117
187,-530.4460951077187,21.68733462849859
188,-530.5111283442982,21.890859136645126
189,-530.5253569378151,22.316640996794074
190,-530.4647679578263,22.372868654588046
191,-530.3342850173674,22.590705402211285
192,-530.1323338303662,22.494720940298247
193,-529.8656337009402,22.74679562798835
194,-529.5087237887838,22.72939858933639
195,-529.0646401954372,22.937524245953956
196,-528.5333742086189,22.502928178740003
197,-527.941871773882,22.589646159970155
198,-527.2966430149161,22.84287949365465
199,-526.641579957304,22.748873279367736
200,-525.9356576049439,22.651835832080753
201,-525.2306589615816,22.108699138680528
202,-524.546654502971,21.857956187347938
203,-523.8972845147536,21.461134414127045
204,-523.2897951483363,21.515230655430006
205,-522.7569731336137,21.02750138621892
206,-522.3101934271564,20.685914941775234
207,-521.9648595574301,20.345946978642363
208,-521.7327837256958,20.472280913424264
209,-521.5273558839717,20.575379780175297
210,-521.4219497717374,20.499892444567383
211,-521.3953470299613,20.922992126060166
212,-521.4575885407148,20.82509963156372
213,-521.5882455134378,20.954858912841143
214,-521.7628906782836,21.19181280979196
215,-521.9711048768517,21.366681556250263
216,-522.1635210329586,21.643465630251026
217,-522.3385040166314,22.092062469449417
218,-522.4973686610655,22.497607519416306
219,-522.6230568501051,22.90820409382929
220,-522.6852056368638,23.39429117947079
221,-522.6499484280164,23.73590384219164
